"genes" "logFC" "logCPM" "PValue" "FDR" "EnsID"
"73010" -9.18908307073567 -0.256044581002579 6.51922490519775e-17 1.7718601369837e-12 "ENSMUSG00000044067"
"140476" 8.9293232742826 -0.613462027226004 4.49613007922704e-15 6.11001597116559e-11 "ENSMUSG00000033498"
"270162" 8.87498930274731 -0.665713353219647 1.20777964303651e-14 1.09420809726965e-10 "ENSMUSG00000041986"
"791357" -8.73279745076964 -0.676636886564932 7.2951003600367e-13 4.61828637647716e-09 NA
"109889" -8.70819386258712 -0.699085653386561 1.18944790593252e-12 4.61828637647716e-09 "ENSMUSG00000030380"
"12931" -8.70819386258712 -0.699085653386561 1.18944790593252e-12 4.61828637647716e-09 "ENSMUSG00000007888"
"234673" -8.70819386258712 -0.699085653386561 1.18944790593252e-12 4.61828637647716e-09 "ENSMUSG00000031886"
"67516" -8.57845870298365 -0.817032347529514 1.41876824643665e-11 4.2845224633224e-08 "ENSMUSG00000046523"
"212517" -8.55105054153497 -0.841855837364588 1.41876824643665e-11 4.2845224633224e-08 "ENSMUSG00000071550"
"12007" 8.46097571202006 -1.05939609335995 1.63616967247394e-11 4.44556339895005e-08 "ENSMUSG00000037053"
"100039801" -2.0132936245406 1.49362744965423 1.79922724855405e-11 4.44556339895005e-08 "ENSMUSG00000061974"
"665180" -8.52311158254793 -0.867125275006129 2.34567786764106e-11 5.31276489705137e-08 "ENSMUSG00000079598"
"102680" -8.3430621209738 -1.02909712975985 2.79657369550512e-11 5.8467751130872e-08 "ENSMUSG00000036814"
"71603" -8.49462086003909 -0.892857109561021 3.88735288829734e-11 7.54674029650239e-08 NA
"105975" -8.31074161382882 -1.05800616175264 4.79412633515163e-11 8.68663731087242e-08 "ENSMUSG00000097209"
"319405" -8.46555614075122 -0.919068718562274 6.45764072170833e-11 1.09695135734569e-07 "ENSMUSG00000097466"
"100503685" 8.34583963602815 -1.16725403525772 8.24313808705923e-11 1.31788382393049e-07 NA
"50720" -8.43589381991691 -0.94577847911443 1.07530945737403e-10 1.53820188115625e-07 "ENSMUSG00000048279"
"12768" -8.43589381991691 -0.94577847911443 1.07530945737403e-10 1.53820188115625e-07 "ENSMUSG00000025804"
"14804" -8.24384375963597 -1.11767471649012 1.42164265559427e-10 1.93194128681983e-07 "ENSMUSG00000071424"
"100503785" -8.20919441387421 -1.14848863118468 2.45933802464118e-10 2.6736939268689e-07 NA
"68662" -8.20919441387421 -1.14848863118468 2.45933802464118e-10 2.6736939268689e-07 "ENSMUSG00000064057"
"214922" -8.20919441387421 -1.14848863118468 2.45933802464118e-10 2.6736939268689e-07 "ENSMUSG00000072572"
"226245" -8.17369237011247 -1.17999496934325 2.45933802464118e-10 2.6736939268689e-07 "ENSMUSG00000035818"
"11444" -8.17369237011247 -1.17999496934325 2.45933802464118e-10 2.6736939268689e-07 "ENSMUSG00000027950"
"15891" -1.77154981152152 1.77209411262981 2.61332137334151e-10 2.7318254463865e-07 "ENSMUSG00000029306"
"12919" -1.31577783274721 7.93538366887583 2.87949535812897e-10 2.81466687740279e-07 "ENSMUSG00000021680"
"75369" -8.37467439356462 -1.00077143741617 3.00325028311126e-10 2.81466687740279e-07 "ENSMUSG00000105773"
"213438" -8.37467439356462 -1.00077143741617 3.00325028311126e-10 2.81466687740279e-07 "ENSMUSG00000054293"
"72432" -1.46180023804548 3.32636115686141 4.01293492983686e-10 3.62472292475336e-07 "ENSMUSG00000055561"
"216454" 8.220711817114 -1.28353918465246 4.2676748074656e-10 3.62472292475336e-07 "ENSMUSG00000074639"
"56788" -8.13729459849465 -1.21222578804052 4.2676748074656e-10 3.62472292475336e-07 "ENSMUSG00000007279"
"27412" 8.17646881741701 -1.32440796553823 7.42891540558818e-10 5.60862477245781e-07 "ENSMUSG00000070526"
"18054" 8.17646881741701 -1.32440796553823 7.42891540558818e-10 5.60862477245781e-07 "ENSMUSG00000032484"
"78185" 8.17646881741701 -1.32440796553823 7.42891540558818e-10 5.60862477245781e-07 "ENSMUSG00000039545"
"100502869" -8.09995472753278 -1.24521542311157 7.42891540558818e-10 5.60862477245781e-07 NA
"22139" -1.51758456484896 2.59984321609558 1.03754914385929e-09 7.62149950836533e-07 "ENSMUSG00000061808"
"381284" -8.06162268888348 -1.27900070999146 1.29728821261765e-09 9.04076828993205e-07 "ENSMUSG00000084989"
"386454" -8.06162268888348 -1.27900070999146 1.29728821261765e-09 9.04076828993205e-07 "ENSMUSG00000036492"
"67412" 2.72563537233765 -0.16721761032255 1.95167038412818e-09 1.32611123425549e-06 "ENSMUSG00000038916"
"18164" 8.08369182057137 -1.40966503925232 2.27269288375873e-09 1.40385272471996e-06 "ENSMUSG00000025582"
"432763" 8.08369182057137 -1.40966503925232 2.27269288375873e-09 1.40385272471996e-06 "ENSMUSG00000034686"
"22066" 8.08369182057137 -1.40966503925232 2.27269288375873e-09 1.40385272471996e-06 "ENSMUSG00000027748"
"76294" 8.08369182057137 -1.40966503925232 2.27269288375873e-09 1.40385272471996e-06 "ENSMUSG00000031519"
"17857" 8.03496558457751 -1.45419141532954 3.99442991690931e-09 2.21560430023833e-06 NA
"246177" -7.98176087191057 -1.3491195997177 3.99442991690931e-09 2.21560430023833e-06 "ENSMUSG00000020437"
"667631" -7.98176087191057 -1.3491195997177 3.99442991690931e-09 2.21560430023833e-06 NA
"76072" -7.98176087191057 -1.3491195997177 3.99442991690931e-09 2.21560430023833e-06 "ENSMUSG00000063851"
"208628" -7.98176087191057 -1.3491195997177 3.99442991690931e-09 2.21560430023833e-06 "ENSMUSG00000029414"
"108760" -7.94010854605034 -1.3855417679496 7.04361305958816e-09 3.54515480271383e-06 "ENSMUSG00000021130"
"100504187" -7.94010854605034 -1.3855417679496 7.04361305958816e-09 3.54515480271383e-06 NA
"64406" -7.94010854605034 -1.3855417679496 7.04361305958816e-09 3.54515480271383e-06 "ENSMUSG00000075304"
"384214" -7.94010854605034 -1.3855417679496 7.04361305958816e-09 3.54515480271383e-06 "ENSMUSG00000033805"
