"genes" "logFC" "logCPM" "PValue" "FDR" "EnsID"
"270162" 8.87514346570222 -0.665849894436234 1.20777964303651e-14 3.28262429180894e-10 "ENSMUSG00000041986"
"791357" -8.73267439743766 -0.676928300751568 7.2951003600367e-13 9.91367663427187e-09 NA
"100039801" -2.01301623467973 1.49334199663805 1.79922724855405e-11 1.59382946911541e-07 "ENSMUSG00000061974"
"665180" -8.52298857457225 -0.867412395061442 2.34567786764106e-11 1.59382946911541e-07 "ENSMUSG00000079598"
"140476" 3.24711544524152 -0.465407465296321 2.18351865572506e-10 8.1625339444681e-07 "ENSMUSG00000033498"
"226245" -8.17356945402245 -1.18027501121075 2.45933802464118e-10 8.1625339444681e-07 "ENSMUSG00000035818"
"11444" -8.17356945402245 -1.18027501121075 2.45933802464118e-10 8.1625339444681e-07 "ENSMUSG00000027950"
"15891" -1.77127230625896 1.7718136458791 2.61332137334151e-10 8.1625339444681e-07 "ENSMUSG00000029306"
"12919" -1.31550000131466 7.93511181393448 2.90359351367042e-10 8.1625339444681e-07 "ENSMUSG00000021680"
"75369" -8.37455142192379 -1.00105553127801 3.00325028311126e-10 8.1625339444681e-07 "ENSMUSG00000105773"
"72432" -1.46152250147341 3.32608603824152 4.01293492983686e-10 9.91523258709419e-07 "ENSMUSG00000055561"
"27412" 8.17662277543456 -1.3245641488421 7.42891540558818e-10 1.55315762929601e-06 "ENSMUSG00000070526"
"100502869" -8.09983183384378 -1.2454939972258 7.42891540558818e-10 1.55315762929601e-06 NA
"22139" -1.51730689683957 2.59956767523482 1.29015599330488e-09 2.50465355300238e-06 "ENSMUSG00000061808"
"67412" 2.72591152763959 -0.167366647434132 1.95167038412818e-09 3.53629662468132e-06 "ENSMUSG00000038916"
"76294" 8.08384574312185 -1.40982383616355 2.27269288375873e-09 3.8605949929799e-06 "ENSMUSG00000031519"
"73010" -2.67948101962095 -0.0751985186946956 3.91820773620831e-09 5.713926879562e-06 "ENSMUSG00000044067"
"246177" -7.98163801660433 -1.34939584801483 3.99442991690931e-09 5.713926879562e-06 "ENSMUSG00000020437"
"208628" -7.98163801660433 -1.34939584801483 3.99442991690931e-09 5.713926879562e-06 "ENSMUSG00000029414"
"108760" -7.93998570503743 -1.38581720543779 7.04361305958816e-09 9.57191796732734e-06 "ENSMUSG00000021130"
"100504518" 7.98468982963628 -1.50024713583615 1.24617769515791e-08 1.4112443156957e-05 "ENSMUSG00000071540"
"269019" 7.98468982963628 -1.50024713583615 1.24617769515791e-08 1.4112443156957e-05 "ENSMUSG00000039954"
"76184" -7.89709499951611 -1.42321200132312 1.24617769515791e-08 1.4112443156957e-05 "ENSMUSG00000044749"
"329973" -7.89709499951611 -1.42321200132312 1.24617769515791e-08 1.4112443156957e-05 NA
"64176" -2.00363237225571 0.633855551772246 1.72727118614542e-08 1.87782014272985e-05 "ENSMUSG00000053025"
"69303" 7.93243334436986 -1.54759648366116 2.21220691621053e-08 2.14734184913164e-05 "ENSMUSG00000085984"
"19886" -7.85288999848658 -1.46163400198645 2.21220691621053e-08 2.14734184913164e-05 "ENSMUSG00000019893"
"21789" -7.85288999848658 -1.46163400198645 2.21220691621053e-08 2.14734184913164e-05 "ENSMUSG00000029664"
"504186" 2.1920198275337 0.177757813435439 2.33451275164995e-08 2.18792145093428e-05 "ENSMUSG00000066279"
"11604" -7.80728760114697 -1.50114154931082 3.94049356950006e-08 3.34683358517006e-05 "ENSMUSG00000005705"
"245446" -7.80728760114697 -1.50114154931082 3.94049356950006e-08 3.34683358517006e-05 "ENSMUSG00000046699"
"80903" -7.80728760114697 -1.50114154931082 3.94049356950006e-08 3.34683358517006e-05 "ENSMUSG00000031230"
"17085" -2.38308156882468 -0.0702686809633476 5.22052042993357e-08 4.17965931126993e-05 "ENSMUSG00000004707"
"271970" -1.62889943912664 1.31604224540099 5.22861093429404e-08 4.17965931126993e-05 "ENSMUSG00000046561"
"332396" -7.76019656717525 -1.54179809390514 7.04324441162608e-08 5.17373891523203e-05 "ENSMUSG00000040901"
"269389" -7.71151641775295 -1.58367280810688 7.04324441162608e-08 5.17373891523203e-05 "ENSMUSG00000074607"
"50530" -7.71151641775295 -1.58367280810688 7.04324441162608e-08 5.17373891523203e-05 "ENSMUSG00000030116"
"20698" -1.55667299695918 1.47164746606855 7.77437941347311e-08 5.56052258102067e-05 "ENSMUSG00000061878"
"14608" -2.17503258441946 0.154736960613166 1.25230218909931e-07 8.58388984308937e-05 "ENSMUSG00000031932"
"12766" -7.66113614461403 -1.62684129360358 1.26331209287897e-07 8.58388984308937e-05 "ENSMUSG00000050232"
"14089" -1.43123889886072 1.90417739580065 1.40172738883682e-07 9.29208504907216e-05 "ENSMUSG00000000392"
"23972" -1.60195235254541 1.20905747949885 1.87335252489923e-07 0.000121228210176753 "ENSMUSG00000024899"
"69480" -7.60893268541524 -1.67138640173576 2.27396176718213e-07 0.000140463651977825 "ENSMUSG00000042734"
"68854" -7.60893268541524 -1.67138640173576 2.27396176718213e-07 0.000140463651977825 "ENSMUSG00000031382"
"327956" -1.07494420212416 7.18624488187082 2.43057560921967e-07 0.000146801365517736 "ENSMUSG00000020830"
"269959" 1.65686690579792 0.810408653838087 2.98231979869668e-07 0.000176209716975602 "ENSMUSG00000070469"
"72049" 7.63831905000907 -1.8098149391803 4.10780190200644e-07 0.000210652731876666 "ENSMUSG00000068105"
"21923" 7.63831905000907 -1.8098149391803 4.10780190200644e-07 0.000210652731876666 "ENSMUSG00000028364"
"330305" 7.63831905000907 -1.8098149391803 4.10780190200644e-07 0.000210652731876666 "ENSMUSG00000052730"
"71872" -7.55476911275687 -1.71739918869689 4.10780190200644e-07 0.000210652731876666 "ENSMUSG00000038242"
"319415" -7.55476911275687 -1.71739918869689 4.10780190200644e-07 0.000210652731876666 "ENSMUSG00000044499"
"16160" -7.55476911275687 -1.71739918869689 4.10780190200644e-07 0.000210652731876666 "ENSMUSG00000004296"
"71988" -7.55476911275687 -1.71739918869689 4.10780190200644e-07 0.000210652731876666 "ENSMUSG00000022034"
"57394" -2.19858567133692 -0.00825305936975614 4.41813105047733e-07 0.000222371081149858 "ENSMUSG00000015401"
"74075" -1.75566066061763 0.649591552963434 5.93277026868161e-07 0.000293175932968177 "ENSMUSG00000025480"
"216049" 2.40543305362922 -0.549010591088686 6.09386906068059e-07 0.000295020505025882 "ENSMUSG00000037855"
"12395" -1.91706175972713 0.259529255993264 6.18719187110463e-07 0.000295020505025882 "ENSMUSG00000006586"
"23985" -1.03704030786369 6.75490458780655 6.64563115865705e-07 0.000311407709574774 "ENSMUSG00000020651"
"208890" -1.16461342631637 3.12152962237345 7.26475365058872e-07 0.000311407709574774 "ENSMUSG00000040569"
"268481" 7.57154963266837 -1.86825324232956 7.44747824510112e-07 0.000311407709574774 "ENSMUSG00000035849"
"231252" 7.57154963266837 -1.86825324232956 7.44747824510112e-07 0.000311407709574774 "ENSMUSG00000029205"
"258783" 7.57154963266837 -1.86825324232956 7.44747824510112e-07 0.000311407709574774 "ENSMUSG00000061039"
"15478" -7.49849246978901 -1.76498003312527 7.44747824510112e-07 0.000311407709574774 "ENSMUSG00000047759"
"225392" -7.49849246978901 -1.76498003312527 7.44747824510112e-07 0.000311407709574774 "ENSMUSG00000044024"
"54672" -7.49849246978901 -1.76498003312527 7.44747824510112e-07 0.000311407709574774 "ENSMUSG00000060470"
"269109" -1.48046173357793 1.3152063698038 7.75618830567606e-07 0.000319357341645665 "ENSMUSG00000036815"
"319776" -1.2442642470705 2.38153178951336 7.87260086473365e-07 0.000319357341645665 "ENSMUSG00000048108"
"20377" -1.03789933959252 5.49037414196271 9.3427156726116e-07 0.000373420101861633 "ENSMUSG00000031548"
"80979" 1.57492592789497 0.843703504923907 9.80301110762844e-07 0.000386139186803237 "ENSMUSG00000029015"
"22295" 7.50153946600352 -1.92906168034969 1.35519686099381e-06 0.000478349292012347 "ENSMUSG00000012819"
"54140" 7.50153946600352 -1.92906168034969 1.35519686099381e-06 0.000478349292012347 "ENSMUSG00000020123"
"20302" 7.50153946600352 -1.92906168034969 1.35519686099381e-06 0.000478349292012347 "ENSMUSG00000000982"
"213435" 7.50153946600352 -1.92906168034969 1.35519686099381e-06 0.000478349292012347 "ENSMUSG00000031698"
"77125" -7.4399311662674 -1.81423995034728 1.35519686099381e-06 0.000478349292012347 "ENSMUSG00000024810"
"228139" -7.4399311662674 -1.81423995034728 1.35519686099381e-06 0.000478349292012347 "ENSMUSG00000027071"
"66901" -7.4399311662674 -1.81423995034728 1.35519686099381e-06 0.000478349292012347 "ENSMUSG00000031445"
"22376" -7.4399311662674 -1.81423995034728 1.35519686099381e-06 0.000478349292012347 "ENSMUSG00000031165"
"229933" -1.3958205579531 1.4026465783586 1.58621757601248e-06 0.000552715480749272 "ENSMUSG00000036960"
"14275" -1.77183602732257 0.400054035391006 1.87972580680923e-06 0.00064029610251368 "ENSMUSG00000001827"
"12805" -1.01769621545725 5.00280276929916 1.88467891390759e-06 0.00064029610251368 "ENSMUSG00000055022"
"242022" -1.2449969533516 2.0614882455635 2.12240488677187e-06 0.000712158548365094 "ENSMUSG00000037016"
