"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AT1G01180" 41.2210385450874 -1.58123081097225 0.362801305966539 -4.35839338218391 1.31020723599996e-05 4.86495975728875e-05
"AT1G01250" 22.2535221209427 -7.55186886256858 1.27701212758554 -5.91370175696528 3.34503339433902e-09 2.00922335201286e-08
"AT1G01300" 99.7505880662633 -1.75812863720976 0.216270071120417 -8.12932010472618 4.31704913233926e-16 4.53685907244579e-15
"AT1G01420" 26.2656379406428 -7.79315333338985 1.25366608731916 -6.2162910939505 5.09043315916661e-10 3.3352145669236e-09
"AT1G01500" 18.3902125396499 -7.27851962653046 1.32178540920768 -5.50658191248564 3.65867766290882e-08 1.93975664041429e-07
"AT1G01580" 27.4147983028548 -7.85499750231248 1.24221009435849 -6.32340498437906 2.558615565659e-10 1.72540993204205e-09
"AT1G01620" 3108.58601670115 1.52779202554771 0.0945215147392763 16.1634314659673 9.13330553460855e-59 2.94585812918516e-57
"AT1G01720" 1169.29120009587 2.38335355426141 0.0851629965146661 27.9857878632883 2.41987023530393e-172 2.23720906270357e-170
"AT1G01830" 406.098352677879 2.87876333657373 0.126175171936014 22.8156085892525 3.20957941670087e-115 1.8994272052464e-113
"AT1G01940" 1249.02719797226 4.80753528081867 0.113343043970721 42.4157946742684 0 0
"AT1G02000" 112.912801013808 1.89720936305818 0.173752239097982 10.9190498661045 9.34684496209041e-28 1.57444503467219e-26
"AT1G02090" 829.051836166295 2.5586639321652 0.0930358967008955 27.5019000503767 1.66613739341601e-166 1.47902868967752e-164
"AT1G02260" 47.7360352815071 -1.67029148746006 0.305515866497915 -5.46711863644389 4.57409926496784e-08 2.3940928633912e-07
"AT1G02290" 105.816409229194 2.63493481092711 0.207206932599989 12.7164413751244 4.7919121658978e-37 1.03817863792918e-35
"AT1G02640" 102.926182360735 1.67507449855157 0.210750713708 7.9481320327694 1.89344793932462e-15 1.91560022989059e-14
"AT1G02660" 32.6781498654903 1.63751921012318 0.36956646008299 4.43091943396449 9.38321444457847e-06 3.57067617957385e-05
"AT1G02700" 273.455240548501 5.58810376098397 0.243324226617569 22.965669463595 1.02757833145984e-116 6.17223846878664e-115
"AT1G02810" 20.9619442543483 -7.46451908654169 1.29565046498348 -5.76121360527343 8.35112709743404e-09 4.77731142939041e-08
"AT1G02820" 280.496340411891 -3.37915129388733 0.325977577988176 -10.3662077457668 3.53267166669677e-25 5.47277675500159e-24
"AT1G02980" 50.3792708017847 9.47722784906426 1.20538667649859 7.8623963860242 3.76853264257619e-15 3.74278722155265e-14
"AT1G03055" 72.0521611651622 -1.75421059221874 0.239298579396516 -7.33063521163669 2.290643898171e-13 2.02088381200997e-12
"AT1G03070" 4839.50884657066 8.47283813088625 1.45224748916496 5.83429353061446 5.40189522440122e-09 3.16694395067029e-08
"AT1G03140" 569.657132817298 1.63146827942019 0.0903763922348876 18.0519297028367 7.61819416485779e-73 2.93915791029571e-71
"AT1G03180" 66.1363007857054 2.45751787904675 0.247168388603349 9.942686817409 2.71406143956816e-23 3.92853539686988e-22
"AT1G03410" 104.041120089127 -1.92579179219298 0.197203211810916 -9.76551940766301 1.58298759715097e-22 2.2317566531302e-21
"AT1G03420" 79.5958605048922 -2.15614508776053 0.231724967970868 -9.30475945963492 1.34295968418077e-20 1.75292499570817e-19
"AT1G03430" 55.2514829580738 -1.5098761447069 0.267039636962495 -5.65412746168074 1.56639941534934e-08 8.68096825158524e-08
"AT1G03780" 30.6146864779607 -2.22506503134312 0.546738262609378 -4.06970790872348 4.70721163404206e-05 0.000159082862477808
"AT1G03820" 149.729819545371 -1.68272263311123 0.167449628879094 -10.0491272771123 9.26845830488197e-24 1.36020557647261e-22
"AT1G03860" 833.422078413335 2.74709227638578 0.0980460096213351 28.0183995962239 9.69820233030097e-173 9.00765440511565e-171
"AT1G03970" 305.13269200665 2.06549083201485 0.123369412261975 16.742325298825 6.44216763930902e-63 2.2360340342529e-61
"AT1G04020" 24.4962280053151 -7.69145852386674 1.26158826378306 -6.09664717457244 1.08316225913899e-09 6.82701892643618e-09
"AT1G04107" 13.3822048523606 -6.82031897697321 1.45063463813884 -4.70161045218363 2.5811757697298e-06 1.07635727067801e-05
"AT1G04117" 10.8989339018505 -6.52459480781501 1.57995144480342 -4.12961729252814 3.63367588475803e-05 0.000125191148205419
"AT1G04130" 407.024824456351 3.77834465741008 0.130116016402616 29.0382749324172 2.1639778135563e-185 2.13860703919047e-183
"AT1G04183" 95.616150821332 -1.98157379295887 0.206079307920278 -9.61558835264262 6.87153719162488e-22 9.50736407850886e-21
"AT1G04233" 86.266264492514 2.14012780641662 0.203445355360755 10.5194232752165 7.03025818815065e-26 1.12026242867894e-24
"AT1G04280" 127.811199808393 -1.65465725082461 0.173649652573814 -9.52871040223509 1.59249113266772e-21 2.1704182814932e-20
"AT1G04330" 17.49838119683 -7.20895279404498 1.34162181581834 -5.37331214284688 7.73033373393203e-08 3.9212630940618e-07
"AT1G04425" 39.6956012225219 -1.67843506570527 0.342335104755103 -4.902900819669 9.44316691380562e-07 4.18117004247999e-06
"AT1G04463" 10.5763032448397 -6.48013994435009 1.61235862235071 -4.0190438122894 5.8434805224314e-05 0.000194253365768051
"AT1G04503" 226.730168147285 -1.6101375373099 0.315811440519225 -5.09841421407241 3.42510690796273e-07 1.60961571299012e-06
"AT1G04520" 64.4751944108418 -1.51329380799899 0.242748223482141 -6.23400569648379 4.54656537384024e-10 2.99255887565561e-09
"AT1G04570" 27.5749696136215 8.60501352484889 1.25310948153334 6.86692874936956 6.55988121325129e-12 5.16906272192645e-11
