"genes" "logFC" "logCPM" "PValue" "FDR"
"AT5G04150" 8.64501406221189 -0.130439491501903 2.48909086189615e-13 5.28046798068702e-11
"AT5G10770" -1.72651150482673 3.91521927506848 2.8138875689549e-13 5.93652545348684e-11
"AT2G08820" -1.60442230688344 5.23794989577327 2.90343180785623e-13 6.09178280301087e-11
"AT2G22122" -1.81859387748312 3.35952408360696 2.96361766214307e-13 6.18408218833855e-11
"AT4G40090" -8.62033446427348 -0.178166926661083 4.15962164169215e-13 8.63257130487264e-11
"AT4G34138" -1.59835165206843 5.1307632069308 4.37178915630032e-13 9.02384544445859e-11
"AT4G29080" -1.76889807904311 3.46068840318864 5.95351304607747e-13 1.22226262998664e-10
"AT2G04850" -1.75089642830759 3.57405499606105 6.04490669754751e-13 1.23438934306176e-10
"AT3G23430" -1.83969143573178 3.11258362845028 6.11291707745114e-13 1.24163750808271e-10
"AT2G15960" -1.64561337443652 4.3188131297717 6.97753793934902e-13 1.40975800926974e-10
"AT2G22080" -1.56936722820842 5.39734170086635 7.14291975002907e-13 1.43557649249795e-10
"AT3G58780" -1.59674786098093 4.91214698517417 7.42396737092776e-13 1.48424930903794e-10
"AT3G09155" -3.12768973611478 0.877381168149657 8.48593236845848e-13 1.68772819490602e-10
"AT2G28680" 2.63034145690936 1.35415433660527 1.07387058853949e-12 2.12470581834036e-10
"AT1G30870" -8.55909330314866 -0.235088788966146 1.17117936791458e-12 2.30529151253537e-10
"AT1G52140" -1.58143494565938 4.85558854956547 1.29025955555146e-12 2.52665904555324e-10
"AT1G69325" -2.45453098291476 1.50568427646723 1.31710502394252e-12 2.56607002266679e-10
"AT3G25590" -1.71481510788225 3.61439959164096 1.43723107350641e-12 2.78589369405663e-10
"AT5G52050" -1.53344446363666 5.63697688031384 1.56231117041365e-12 3.01305122997048e-10
"AT1G19570" -1.49370559936974 7.0549539699024 1.57324128936771e-12 3.01888401385907e-10
"AT3G24430" 1.66540194500291 3.91893607556745 1.65699023443031e-12 3.1636914545978e-10
"AT3G25290" -1.52739536469617 5.72246106802867 1.70142423990882e-12 3.21798741092397e-10
"AT1G79180" -1.66464549046692 3.90823474314424 1.70228213744996e-12 3.21798741092397e-10
"AT5G67370" 2.01686112249006 2.40109649882654 1.84677008131037e-12 3.47392917856738e-10
"AT3G53200" -5.56519652586951 -0.0712698740613757 1.94379532369353e-12 3.63851805051771e-10
"AT2G22980" -3.81548330415863 0.407494109120715 2.10719136401951e-12 3.92513216714386e-10
"AT4G34139" -1.64923388248777 3.96730067385787 2.15515602796648e-12 3.99498971281204e-10
"AT1G54660" -2.08797484136832 2.16037018165782 2.67108686167305e-12 4.92744555071725e-10
"AT1G53903" -1.56971026497041 4.66581482447403 2.70432965572315e-12 4.96478520353098e-10
"AT1G05787" -3.47952783046288 0.565077662725992 2.89760669045182e-12 5.29416311395184e-10
"AT1G68238" -5.53669638984722 -0.0974254535800271 3.18385462996163e-12 5.78946061427214e-10
"AT2G22630" 1.6950918268548 3.54248047973459 3.57043680954494e-12 6.46164455020298e-10
"AT3G22120" 1.45687013417798 7.75186602557333 4.12753730120185e-12 7.43462921621197e-10
"AT3G15990" -1.54225432848824 4.8296537864845 4.3452856742454e-12 7.79009759421291e-10
"AT5G10210" -1.55425758860603 4.63938873085528 4.59035523813891e-12 8.19099556652207e-10
"AT4G28790" -1.48127311191663 5.87470222012835 5.10664160388534e-12 9.06987052492863e-10
"AT3G51810" 5.44687594641754 -0.103938838468325 5.22709080998183e-12 9.24081896620214e-10
"AT2G29490" -1.46600580640325 6.44996469284966 5.3097134038743e-12 9.34362746729695e-10
"AT2G36380" -1.4449849858001 8.25510454474557 5.37972617440475e-12 9.42340475668898e-10
"AT1G19550" -1.61783250399032 3.96234822946038 5.64310564044578e-12 9.80646693014015e-10
"AT2G32880" -8.46206293713822 -0.324893110396628 5.64977406544501e-12 9.80646693014015e-10
"AT2G08825" -1.54674739563988 4.62251839850015 5.83323771420977e-12 1.00790957174124e-09
"AT3G22121" 1.44566773751067 7.74839345121194 5.92885605485849e-12 1.01981665455327e-09
"AT5G43150" -1.73319482307349 3.15100896772036 7.86522541379208e-12 1.34682285942181e-09
"AT5G01600" -1.43601745693509 7.61674082592617 8.31541583754730e-12 1.41755566594902e-09
"AT4G09760" -1.52915173622767 4.657742876012 9.50432258905648e-12 1.61072444954597e-09
"AT2G21560" -2.20167880391008 1.75794688973126 9.53291063733803e-12 1.61072444954597e-09
"AT4G19420" -1.46705219401829 5.81275633021977 1.00567493049695e-11 1.69174902625359e-09
"AT1G71695" -1.43775389335669 6.82193597125559 1.0584999181319e-11 1.77280166113092e-09
"AT3G18550" -1.75371696698198 2.96894995602068 1.13154260258028e-11 1.8868596428878e-09
"AT3G44510" -2.76774275193548 0.90279316641501 1.20783980139902e-11 2.00532915896622e-09
"AT3G23930" -1.63364762637221 3.61778630305677 1.28696688094039e-11 2.12745096604285e-09
"AT1G08165" -4.67724317956795 -0.0209716678000003 1.33778014590472e-11 2.20191692463438e-09
"AT2G31790" -3.17847903767732 0.64529667570194 1.44338821403222e-11 2.36554602322036e-09
"AT1G43650" -3.5374261811863 0.406964555880417 1.56659997480132e-11 2.55650370246851e-09
"AT1G68740" -2.85790878772044 0.876538156563673 1.68503003214853e-11 2.73806624713292e-09
"AT5G25140" -1.64687448865477 3.40530029313593 1.85026975953185e-11 2.99383055243574e-09
"AT1G17860" -1.49967445504675 4.69675214595654 2.09915596386665e-11 3.38220968929165e-09
"AT4G12870" -2.73607644792446 0.876116564197369 2.35228040492115e-11 3.77412519085375e-09
"AT4G37445" -2.52105284645077 1.12119707053097 2.96484052565359e-11 4.73704603818443e-09
"AT5G48430" 3.2774211309934 0.4635575865549 3.04210016757376e-11 4.82862719763261e-09
"AT5G13170" 2.52718759420608 1.19675624583004 3.04744973191604e-11 4.82862719763261e-09
"AT5G24165" -1.72966522566809 2.8547553504751 3.31298406517924e-11 5.22766981458407e-09
"AT4G28290" -1.6814182209789 3.10006165845544 3.47530102855525e-11 5.46122819244489e-09
"AT5G20410" -1.61409862288103 3.452836535403 3.73848918419385e-11 5.85073557326337e-09
"AT2G35470" -1.53571138359534 4.01419097448162 3.977581480773e-11 6.19950720101215e-09
"AT1G47271" -2.87394979165838 0.779564568455322 4.27623869410101e-11 6.63790450296509e-09
"AT3G15353" -1.48689046976106 4.5007025047219 4.54932979457469e-11 7.03322702573397e-09
"AT1G51830" -8.32161993997657 -0.453994220845371 4.79412633515163e-11 7.35214892506427e-09
"AT3G19700" -8.32161993997657 -0.453994220845371 4.79412633515163e-11 7.35214892506427e-09
"AT3G02885" 2.4661255212405 1.21770534538039 5.38066243608754e-11 8.21863903137754e-09
"AT2G44480" -3.63803086760835 0.250320940285034 6.06271998125102e-11 9.22354682087854e-09
"AT3G30180" -1.43998916546474 5.04594797792825 6.18858970828435e-11 9.37767803970421e-09
"AT1G24575" -1.99704988488916 1.97233961610132 6.24541271849719e-11 9.41752716354404e-09
"AT5G54840" -1.55687143635817 3.68923552893736 6.26421175179434e-11 9.41752716354404e-09
"AT4G28280" -1.65429916189639 3.11408714960245 6.3925332397702e-11 9.57275585466137e-09
"AT3G22540" 4.07938361463181 0.0432631659392122 6.47614853651625e-11 9.66008625060193e-09
"AT1G77950" 2.39023591785063 1.28822314754982 6.87800040754845e-11 1.0219584574422e-08
"AT1G09390" 1.5448365459692 3.80099757347624 6.9550052968235e-11 1.02939469869962e-08
"AT2G38940" -1.47008988717032 4.5199060500213 7.18424967765505e-11 1.05921914359435e-08
"AT4G30670" -2.14099851738843 1.62851340969786 7.84586942216753e-11 1.15231680674957e-08
"AT2G32487" -8.28426389770637 -0.488147774222285 8.24313808705923e-11 1.2060247930745e-08
"AT2G18550" -2.83964822618938 0.750490825665644 8.51150976435119e-11 1.24053630481494e-08
"AT2G33160" 2.13668808875105 1.65112381102073 9.40521671469352e-11 1.36558024892505e-08
"AT1G12080" 1.89425095725526 2.15541230715207 9.62287403936805e-11 1.39189040934587e-08
"AT1G05347" -1.44223988032677 4.73632342529352 9.69066680528906e-11 1.39640680236516e-08
"AT1G12010" -1.40256037106224 5.45294062139149 1.04481810506318e-10 1.49990316390761e-08
"AT4G37250" -1.38219083556128 5.87134794946474 1.06857690462073e-10 1.52826508164222e-08
"AT1G07400" 1.34620683251359 9.01067953494208 1.08704951620714e-10 1.54888331439872e-08
"AT2G20670" -1.3727604713904 6.18088366517368 1.12623401154767e-10 1.59874988717321e-08
"AT1G20700" -1.62059756122998 3.13351845320278 1.34862264843415e-10 1.90735201678173e-08
"AT3G28100" -1.72595047779625 2.65508472121084 1.40870718992986e-10 1.98497759242293e-08
"AT5G48010" -1.67937963773789 2.81661515161423 1.41532429531794e-10 1.98696961547834e-08
"AT2G38380" 1.3499850599653 7.02538600534194 1.46876087667265e-10 2.05443600134146e-08
"AT3G04530" -1.52551421248745 3.66601355667658 1.49565847639049e-10 2.08442388976086e-08
"AT1G05760" -2.01583314921938 1.82779175805202 1.51196361978286e-10 2.09948519218285e-08
"AT2G46690" -1.61973018880449 3.08812139970917 1.61346703254308e-10 2.23070662225049e-08
"AT1G30720" 1.50010252131799 3.88816031468984 1.6181473167218e-10 2.23070662225049e-08
"AT3G21770" -1.34961865513038 6.7187174597703 1.67068093058015e-10 2.29484251852999e-08
"AT5G52640" 1.32823788537433 11.0959853663234 1.68762058612174e-10 2.30980213984389e-08
"AT1G56680" -1.80202652449116 2.32448987453808 1.71186515157179e-10 2.33461723849716e-08
"AT1G05000" -1.4591118735018 4.2519877081113 1.76605209645249e-10 2.39994538630374e-08
"AT2G33830" -1.32806453999377 8.7573345105667 1.93361593570385e-10 2.61833539435415e-08
"AT3G47220" -1.70967215765163 2.65885771151759 1.98195771340012e-10 2.67431227010237e-08
"AT4G12470" -1.60864820879125 3.10237657998622 1.99997872331648e-10 2.68912632142827e-08
"AT3G25240" -1.44740366321329 4.30735707372255 2.16435176862458e-10 2.89992760128766e-08
"AT2G01913" -1.42353284171635 4.54700585928691 2.31857481367385e-10 3.09570272150173e-08
"AT5G14730" -1.37487739373402 5.35801144441642 2.64377733109526e-10 3.51760561551232e-08
"AT5G20790" -1.55760521847606 3.29156416065458 2.69087145154785e-10 3.56783393225022e-08
"AT5G24570" 1.40274858842152 4.77747986211472 2.7923222661228e-10 3.68953695689153e-08
"AT1G67610" -5.25116462388619 -0.356836218816478 3.00325028311126e-10 3.9545557003754e-08
"AT4G38970" -1.64184849717036 2.83019448350947 3.15195726351516e-10 4.13610446957354e-08
"AT1G12110" -1.31811062066783 7.27496345412543 3.46736422853108e-10 4.53440994625643e-08
"AT5G05900" -2.26610575235405 1.2393399393753 3.54577572709803e-10 4.62112600392374e-08
"AT1G54050" 1.31725286909774 7.23288584882014 3.62928699799576e-10 4.71387596277096e-08
"AT5G25190" 1.42562210758189 4.32334429872557 3.73108675144397e-10 4.82967046408947e-08
